time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	buav_1_x	buav_1_y	buav_1_z	buav_2_x	buav_2_y	buav_2_z	buav_3_x	buav_3_y	buav_3_z	buav_4_x	buav_4_y	buav_4_z	buav_5_x	buav_5_y	buav_5_z	buav_6_x	buav_6_y	buav_6_z	
40.724	22	13	53	15	-1400.437	19.83834	0.4437293	20.17206	-0.007529594	0.3368312	400.0004	-999.9983	0.4192247	999.9997	1200.002	0.3283735	-1000.121	-500.0002	0.2812066	-100.1276	599.9949	0.2882106	-899.9851	999.9913	0.3711759	-1492	-1.379287e-09	4.350021	-1494	-1.620795e-08	4.350021	-1496	-8.629411e-08	4.350021	-1498	-2.615901e-08	4.350021	-1500	-3.795118e-08	4.350021	-1502	3.224055e-08	4.350021	
40.76	22	13	53	15	-1400.438	19.83811	0.4390025	20.19055	-0.007542809	0.3384873	400.0004	-999.9983	0.4212376	999.9997	1200.002	0.3273798	-1000.121	-500.0001	0.2854588	-100.1277	599.9949	0.2905912	-899.9851	999.9913	0.3692886	-1492	8.496641e-07	4.338835	-1494	6.12452e-06	4.338834	-1496	-5.982367e-06	4.338835	-1498	7.404035e-07	4.338835	-1500	-8.436359e-06	4.338835	-1502	3.472344e-06	4.338835	
40.764	22	13	53	15	-1400.438	19.83809	0.4384634	20.19261	-0.007544277	0.338677	400.0004	-999.9983	0.4214556	999.9997	1200.002	0.3272757	-1000.121	-500.0001	0.2859329	-100.1277	599.9949	0.2908526	-899.9851	999.9913	0.3690805	-1492	1.482048e-08	4.33753	-1494	7.244542e-06	4.337529	-1496	-6.450177e-06	4.33753	-1498	1.170915e-06	4.33753	-1500	-9.776462e-06	4.337531	-1502	3.97985e-06	4.33753	
40.808	22	13	53	15	-1400.439	19.8378	0.4323612	20.21521	-0.007560385	0.3408415	400.0004	-999.9983	0.4237757	999.9998	1200.002	0.3262174	-1000.121	-500.0001	0.2911665	-100.1279	599.9949	0.2936847	-899.985	999.9913	0.3668138	-1492	-1.522724e-05	4.324112	-1494	6.488949e-06	4.324111	-1496	1.737054e-05	4.324117	-1498	2.239068e-05	4.324114	-1500	-2.529174e-06	4.324118	-1502	-1.763836e-06	4.324117	
40.824	22	13	53	15	-1400.439	19.83769	0.4300679	20.22342	-0.007566229	0.3416637	400.0004	-999.9983	0.4245829	999.9998	1200.002	0.3258738	-1000.121	-500.0001	0.2930754	-100.1279	599.9949	0.2946942	-899.985	999.9913	0.3660008	-1492	-3.049147e-05	4.319742	-1494	2.754619e-06	4.319739	-1496	3.495442e-05	4.320813	-1498	2.928421e-05	4.32081	-1500	4.997805e-06	4.320816	-1502	-5.749909e-06	4.320813	
20.772	22	13	53	15	-1400.44	19.83748	0.4253712	20.23986	-0.007577929	0.3433637	400.0004	-999.9983	0.4261368	999.9998	1200.002	0.3252553	-1000.121	-500.0001	0.2968974	-100.1281	599.9949	0.2966793	-899.985	999.9913	0.3643946	-1492	-6.62178e-05	4.311852	-1494	-1.396029e-06	4.311846	-1496	9.729725e-05	4.311858	-1498	3.49736e-05	4.311854	-1500	3.752404e-05	4.311862	-1502	-9.008999e-06	4.311859	
40.868	22	13	53	15	-1400.44	19.8374	0.4235743	20.24602	-0.007582334	0.3440198	400.0004	-999.9983	0.4266983	999.9998	1200.002	0.3250475	-1000.121	-500.0001	0.2983309	-100.1281	599.9949	0.2974117	-899.985	999.9913	0.3637995	-1492	-8.204134e-05	4.309184	-1494	-2.973675e-06	4.309179	-1496	0.0001194527	4.309192	-1498	3.516107e-05	4.310057	-1500	4.746576e-05	4.310066	-1502	-7.948766e-06	4.310063	
40.892	22	13	53	15	-1400.44	19.83724	0.4199259	20.25835	-0.0075912	0.3453619	400.0004	-999.9983	0.4277855	999.9998	1200.002	0.3246727	-1000.121	-500	0.3011956	-100.1282	599.9949	0.2988568	-899.985	999.9913	0.3626213	-1492	-0.000109525	4.304321	-1494	-1.072135e-05	4.304319	-1496	0.0001752728	4.304334	-1498	3.133537e-05	4.304316	-1500	8.470237e-05	4.304335	-1502	-2.7202e-06	4.304329	
40.904	22	13	53	15	-1400.44	19.83716	0.4180758	20.26451	-0.007595671	0.3460474	400.0004	-999.9983	0.4283109	999.9998	1200.002	0.3245058	-1000.121	-500	0.302626	-100.1282	599.9949	0.2995694	-899.985	999.9913	0.3620386	-1492	-0.0001232509	4.302124	-1494	-1.723658e-05	4.302125	-1496	0.0002099685	4.302138	-1498	3.148983e-05	4.302114	-1500	9.912227e-05	4.30214	-1502	-5.711375e-07	4.302132	
40.928	22	13	53	15	-1400.441	19.83702	0.4149565	20.27479	-0.007603189	0.3472106	400.0004	-999.9983	0.4291591	999.9998	1200.002	0.3242586	-1000.121	-500	0.3050054	-100.1283	599.9949	0.3007422	-899.985	999.9913	0.3610768	-1492	-0.0001534059	4.298807	-1494	-2.511919e-05	4.298812	-1496	0.0002727423	4.298825	-1498	3.688138e-05	4.298788	-1500	0.0001249156	4.298826	-1502	2.418876e-06	4.298817	
